TABLA GENERAL DE MARCADORES MOLECULARES EN CANCER
Fuentes:
[1] Balaji & Devasena (2027) - "Quality assessment, prognostic factors, and biomarkers for brain tumor analysis: a comprehensive systematic review" - Clinica Chimica Acta
[2] Senthilkumar, Saravanan & Ramalingam (2026) - "Tumor Genomics in Precision Oncology" - SN Comprehensive Clinical Medicine
================================================================================================================================

MARCADOR              | CATEGORIA                  | TIPO DE CANCER / CONTEXTO                              | SIGNIFICADO CLINICO                                    | FUENTE
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
MLH1 / MSH2              | Reparacion de ADN (MMR)      | Sindrome de Lynch, canceres asociados                    | Inestabilidad microsatelital; sensibiliza a             | [2]
                       |                             |                                                           | inhibidores de checkpoint inmune                         |
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
ALK / ROS1               | Fusion genica                | NSCLC                                                    | Diana de crizotinib, alectinib                           | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
EML4-ALK                | Fusion genica                | NSCLC                                                    | Diana terapeutica identificada por RNA-seq              | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
PIK3CA                  | Oncogen (via PI3K)           | Mama                                                     | Diana terapeutica; ensayos basket (NCI-MATCH)           | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
AR-V7                   | Variante de splicing         | Cancer de prostata                                       | Influye en respuesta a terapia dirigida al receptor     | [2]
                       |                             |                                                           | de androgenos                                             |
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
FLT3                    | Mutacion                     | Leucemia mieloide aguda (LMA)                            | Diana de inhibidores de tirosina-quinasa                | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
BCR-ABL                 | Fusion genica                | Leucemia mieloide cronica (LMC)                          | Diana clasica de inhibidores de tirosina-quinasa        | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
NTRK                    | Fusion genica                | Multiples tumores (tejido-agnostico)                     | Diana de larotrectinib; aprobacion regulatoria          | [2]
                       |                             |                                                           | tejido-agnostica                                          |
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
PD-1 / PD-L1 / CTLA-4    | Inmunologico (checkpoint)    | Multiples tumores                                        | Diana de inhibidores de checkpoint inmune               | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
TMB (carga mutacional)   | Marcador inmunologico        | Multiples tumores                                        | Alta TMB predice respuesta a inmunoterapia              | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
MSI-H / dMMR             | Marcador inmunologico        | Colorrectal, Lynch, multiples tumores                    | Predice respuesta a inhibidores de checkpoint           | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
POLE / POLD1             | Genes de polimerasa de ADN   | Tumores hipermutados                                     | Asociados a mejor respuesta a inmunoterapia             | [2]
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
STK11 / KEAP1             | Alteracion genomica          | NSCLC                                                    | Asociados a evasion inmune y resistencia a              | [2]
                       |                             |                                                           | inmunoterapia                                             |
----------------------|-----------------------------|---------------------------------------------------------|---------------------------------------------------------|--------
ESR1 (mutaciones)        | Resistencia endocrina        | Cancer de mama RE+ (metastasico)                         | Deteccion en ctDNA para identificar resistencia         | [2]
                       |                             |                                                           | endocrina temprana                                        |
================================================================================================================================

NOTA: Los marcadores marcados con "[1] y [2]" aparecen en ambas revisiones, aunque en contextos
tumorales distintos (Balaji & Devasena se centra en tumores cerebrales; Senthilkumar et al.
cubre oncologia general). El resto son especificos de una sola fuente segun su enfoque tematico.
